"date","n","avg"
2019-01-28,4383,2120.85714285714
2019-01-29,2823,2131.42857142857
2019-01-30,2476,2097.57142857143
2019-01-31,2427,2076.71428571429
2019-02-01,2492,2085.85714285714
2019-02-02,1,2086
2019-02-04,3294,1930.42857142857
2019-02-05,2844,1933.42857142857
2019-02-06,2909,1995.28571428571
2019-02-07,2955,2070.71428571429
2019-02-08,2509,2073.14285714286
2019-02-10,1,2073.14285714286
2019-02-11,4476,2242
2019-02-12,2891,2248.71428571429
2019-02-13,2775,2229.57142857143
2019-02-14,2297,2135.57142857143
2019-02-15,2869,2187
2019-02-18,2935,1966.71428571429
2019-02-19,3117,1999
2019-02-20,2754,1996
2019-02-21,2304,1997
2019-02-22,2449,1937
2019-02-23,98,1951
2019-02-25,3596,2045.42857142857
2019-02-26,2661,1980.28571428571
2019-02-27,2498,1943.71428571429
2019-02-28,2707,2001.28571428571
2019-03-01,2647,2029.57142857143
2019-03-02,1,2015.71428571429
2019-03-04,4067,2083
2019-03-05,3271,2170.14285714286
2019-03-06,2607,2185.71428571429
2019-03-07,2902,2213.57142857143
2019-03-08,3107,2279.28571428571
2019-03-09,1662,2516.57142857143
2019-03-10,2,2516.85714285714
2019-03-11,2990,2363
2019-03-12,3002,2324.57142857143
2019-03-13,3297,2423.14285714286
2019-03-14,2488,2364
2019-03-15,2923,2337.71428571429
2019-03-16,1,2100.42857142857
2019-03-18,3859,2224.28571428571
2019-03-19,3098,2238
2019-03-20,2610,2139.85714285714
2019-03-21,3072,2223.28571428571
2019-03-22,2527,2166.71428571429
2019-03-23,2376,2506
2019-03-25,2218,2271.57142857143
2019-03-26,2705,2215.42857142857
2019-03-27,3085,2283.28571428571
2019-03-28,2748,2237
2019-03-29,2799,2275.85714285714
2019-03-30,2255,2258.57142857143
2019-03-31,3,2259
2019-04-01,2966,2365.85714285714
2019-04-02,2652,2358.28571428571
2019-04-03,3052,2353.57142857143
2019-04-04,2347,2296.28571428571
2019-04-05,3202,2353.85714285714
2019-04-06,81,2043.28571428571
2019-04-07,1,2043
2019-04-08,3505,2120
2019-04-09,3153,2191.57142857143
2019-04-10,2994,2183.28571428571
2019-04-11,2844,2254.28571428571
2019-04-12,3006,2226.28571428571
2019-04-13,1292,2399.28571428571
2019-04-15,3034,2331.85714285714
2019-04-16,2263,2204.71428571429
2019-04-17,2528,2138.14285714286
2019-04-18,2766,2127
2019-04-20,1642,1747.57142857143
2019-04-23,3071,1429.57142857143
2019-04-24,2540,1431.28571428571
2019-04-25,2475,1389.71428571429
2019-04-26,2385,1730.42857142857
2019-04-27,8,1497
2019-04-29,3479,1994
2019-04-30,2525,1916
2019-05-01,2976,1978.28571428571
2019-05-02,2545,1988.28571428571
2019-05-03,2947,2068.57142857143
2019-05-06,1,1570.57142857143
2019-05-07,3772,1748.71428571429
2019-05-08,2990,1750.71428571429
2019-05-09,2352,1723.14285714286
2019-05-10,2776,1698.71428571429
2019-05-13,3201,2155.85714285714
2019-05-14,2721,2005.71428571429
2019-05-15,2714,1966.28571428571
2019-05-16,2722,2019.14285714286
2019-05-17,2795,2021.85714285714
2019-05-18,4,2022.42857142857
2019-05-20,3767,2103.28571428571
2019-05-21,3081,2154.71428571429
2019-05-22,3188,2222.42857142857
2019-05-23,2662,2213.85714285714
2019-05-24,2445,2163.85714285714
2019-05-25,706,2264.14285714286
2019-05-26,2,2264.42857142857
2019-05-28,2620,1660.42857142857
2019-05-29,2894,1618.42857142857
2019-05-30,2421,1584
2019-05-31,2278,1560.14285714286
2019-06-01,9,1460.57142857143
2019-06-03,3385,1943.85714285714
2019-06-04,2372,1908.42857142857
2019-06-05,2983,1921.14285714286
2019-06-06,2309,1905.14285714286
2019-06-07,2272,1904.28571428571
2019-06-10,3245,1883
2019-06-11,2892,1957.28571428571
2019-06-12,2781,1928.42857142857
2019-06-13,2536,1960.85714285714
2019-06-14,2522,1996.57142857143
2019-06-15,105,2011.57142857143
2019-06-17,3064,1985.71428571429
2019-06-18,2555,1937.57142857143
2019-06-19,2898,1954.28571428571
2019-06-20,2000,1877.71428571429
2019-06-21,2372,1856.28571428571
2019-06-24,2888,1816.14285714286
2019-06-25,2755,1844.71428571429
2019-06-26,2440,1779.28571428571
2019-06-27,2221,1810.85714285714
2019-06-28,2229,1790.42857142857
2019-06-30,1,1790.57142857143
2019-07-01,3043,1812.71428571429
2019-07-02,2676,1801.42857142857
2019-07-03,2989,1879.85714285714
2019-07-04,2295,1890.42857142857
2019-07-05,2152,1879.42857142857
2019-07-06,1545,2100.14285714286
2019-07-07,56,2108
2019-07-08,2634,2049.57142857143
2019-07-09,2003,1953.42857142857
2019-07-10,2524,1887
2019-07-11,2535,1921.28571428571
2019-07-12,2691,1998.28571428571
2019-07-13,318,1823
2019-07-14,91,1828
